artistName	trackName	y	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature	year	popularity	explicit
Anthony Hamilton	I'm A Mess	0	0.494	0.534	10	-5.827	0	0.317	0.132	0.0	0.353	0.548	144.165	audio_features	2nRjJw4w4MUEtKIxu895jG	spotify:track:2nRjJw4w4MUEtKIxu895jG	https://api.spotify.com/v1/tracks/2nRjJw4w4MUEtKIxu895jG	https://api.spotify.com/v1/audio-analysis/2nRjJw4w4MUEtKIxu895jG	264120	3	2003	44	0
Anthony Hamilton	Lucille	0	0.57	0.455	11	-10.221	1	0.049	0.333	0.00104	0.0976	0.187	94.331	audio_features	5ONslDLlx5JMGT95dDYrky	spotify:track:5ONslDLlx5JMGT95dDYrky	https://api.spotify.com/v1/tracks/5ONslDLlx5JMGT95dDYrky	https://api.spotify.com/v1/audio-analysis/5ONslDLlx5JMGT95dDYrky	268840	4	2003	34	0
Anthony Hamilton	My First Love	0	0.632	0.519	0	-6.051	1	0.0552	0.219	0.0	0.755	0.367	77.493	audio_features	5EzvEty2nn7vef95D9Y4cX	spotify:track:5EzvEty2nn7vef95D9Y4cX	https://api.spotify.com/v1/tracks/5EzvEty2nn7vef95D9Y4cX	https://api.spotify.com/v1/audio-analysis/5EzvEty2nn7vef95D9Y4cX	370960	4	2003	35	0
Anton Rubinstein	Melody in F Major, Op. 3, No. 1	0	0.355	0.0435	5	-29.002	1	0.0592	0.995	0.859	0.0976	0.0453	74.107	audio_features	7yMAcqG20aKTgPgHM456Vh	spotify:track:7yMAcqG20aKTgPgHM456Vh	https://api.spotify.com/v1/tracks/7yMAcqG20aKTgPgHM456Vh	https://api.spotify.com/v1/audio-analysis/7yMAcqG20aKTgPgHM456Vh	272627	4	1961	32	0
Ariana Grande	Baby I	0	0.724	0.796	1	-3.686	1	0.0328	0.0152	0.0	0.354	0.542	101.975	audio_features	6NmCCgnQcxKHPOAKgd9Nth	spotify:track:6NmCCgnQcxKHPOAKgd9Nth	https://api.spotify.com/v1/tracks/6NmCCgnQcxKHPOAKgd9Nth	https://api.spotify.com/v1/audio-analysis/6NmCCgnQcxKHPOAKgd9Nth	197600	4	2013	65	0
Ariana Grande	Nobody (with Chaka Khan)	0	0.331	0.772	10	-4.405	1	0.0907	0.0406	0.0	0.0847	0.738	207.75	audio_features	3Z63jbwlq0u9IefkvpEj1T	spotify:track:3Z63jbwlq0u9IefkvpEj1T	https://api.spotify.com/v1/tracks/3Z63jbwlq0u9IefkvpEj1T	https://api.spotify.com/v1/audio-analysis/3Z63jbwlq0u9IefkvpEj1T	180280	4	2019	50	0
Art Pepper	You Go To My Head	0	0.575	0.0935	3	-15.906	1	0.0858	0.978	0.452	0.109	0.301	65.23	audio_features	4ymHy4hzJ09WxvvT7p0Azy	spotify:track:4ymHy4hzJ09WxvvT7p0Azy	https://api.spotify.com/v1/tracks/4ymHy4hzJ09WxvvT7p0Azy	https://api.spotify.com/v1/audio-analysis/4ymHy4hzJ09WxvvT7p0Azy	258040	4	1988	52	0
Average White Band	You Got It	0	0.747	0.669	0	-12.648	1	0.0372	0.464	0.0111	0.0843	0.822	125.762	audio_features	504YWGrxtqNg9tjIOxMHOH	spotify:track:504YWGrxtqNg9tjIOxMHOH	https://api.spotify.com/v1/tracks/504YWGrxtqNg9tjIOxMHOH	https://api.spotify.com/v1/audio-analysis/504YWGrxtqNg9tjIOxMHOH	216200	4	1974	20	0
B.o.B	Both of Us (feat. Taylor Swift)	0	0.677	0.722	7	-7.088	1	0.0522	0.0213	0.0	0.207	0.0483	125.091	audio_features	3r9bgSJlJz2zlevcBRYXko	spotify:track:3r9bgSJlJz2zlevcBRYXko	https://api.spotify.com/v1/tracks/3r9bgSJlJz2zlevcBRYXko	https://api.spotify.com/v1/audio-analysis/3r9bgSJlJz2zlevcBRYXko	216120	4	2012	57	1
B.o.B	So Good	0	0.66	0.9	7	-5.02	1	0.14	0.0403	0.0	0.219	0.591	85.51	audio_features	28GUjBGqZVcAV4PHSYzkj2	spotify:track:28GUjBGqZVcAV4PHSYzkj2	https://api.spotify.com/v1/tracks/28GUjBGqZVcAV4PHSYzkj2	https://api.spotify.com/v1/audio-analysis/28GUjBGqZVcAV4PHSYzkj2	213253	4	2012	65	0
